"학제별","설립별","대학명","지역별","입학정원","평균입학금","평균등록금(원)"
"대학","국공립","강원대학교","강원","18182","0","4169414.702"
"대학","국공립","경남과학기술대학교","경남","1175","0","3825529.787"
"대학","국공립","경북대학교","대구","19467","0","4502382.493"
"대학","국공립","경상국립대학교","경남","16204","0","4070118.119"
"대학","국공립","경인교육대학교","인천","2392","0","3316000"
"대학","국공립","공주교육대학교","충남","1416","0","3424000"
"대학","국공립","광주과학기술원","광주","800","0","2060000"
"대학","국공립","광주교육대학교","광주","1304","0","3614750"
"대학","국공립","국립강릉원주대학교","강원","7121","0","4265293.639"
"대학","국공립","국립공주대학교","충남","11200","0","3830584.107"
"대학","국공립","국립군산대학교","전북","6876","0","3908191.099"
"대학","국공립","국립금오공과대학교","경북","4908","0","3765850.693"
"대학","국공립","국립목포대학교","전남","6194","0","3873247.993"
"대학","국공립","국립목포해양대학교","전남","2806","0","3419831.789"
"대학","국공립","국립부경대학교","부산","13189","0","4040315.793"
"대학","국공립","국립순천대학교","전남","6614","0","3972570.457"
"대학","국공립","국립안동대학교","경북","5546","0","3748723.657"
"대학","국공립","국립창원대학교","경남","7021","0","3893966.03"
"대학","국공립","국립한국교통대학교","충북","7671","0","4112285.23"
"대학","국공립","국립한국해양대학교","부산","5488","0","3721746.356"
"대학","국공립","국립한밭대학교","대전","7558","0","4472772.882"
"대학","국공립","대구경북과학기술원","대구","880","0","7690000"
"대학","국공립","대구교육대학교","대구","1532","0","3712000"
"대학","국공립","부산교육대학교","부산","1424","0","3144000"
"대학","국공립","부산대학교","부산","17346","0","4461814.828"
"대학","국공립","서울과학기술대학교","서울","8662","0","5474961.646"
"대학","국공립","서울교육대학교","서울","1420","0","3088000"
"대학","국공립","서울대학교","서울","13491","0","6034163.116"
"대학","국공립","서울시립대학교","서울","6948","0","2396366.149"
"대학","국공립","울산과학기술원","울산","1600","0","6213900"
"대학","국공립","인천대학교","인천","9992","0","4631878.903"
"대학","국공립","전남대학교","광주","17487","0","4161829.931"
"대학","국공립","전북대학교","전북","15952","0","4442019.559"
"대학","국공립","전주교육대학교","전북","1140","0","3458000"
"대학","국공립","제주대학교","제주","8785","0","3995296.301"
"대학","국공립","진주교육대학교","경남","1276","0","3585000"
"대학","국공립","청주교육대학교","충북","1144","0","3414000"
"대학","국공립","춘천교육대학교","강원","1284","0","3313000"
"대학","국공립","충남대학교","대전","14800","0","4364067.5"
"대학","국공립","충북대학교","충북","11601","0","4279821.912"
"대학","국공립","한경국립대학교","경기","4721","0","4036083.347"
"대학","국공립","한국과학기술원","대전","3880","0","6866000"
"대학","국공립","한국교원대학교","충북","2184","0","3177905.678"
"대학","국공립","한국방송통신대학교","서울","238580","0","760971.2801"
"대학","국공립","한국에너지공과대학교","전남","300","0","9000000"
"대학","국공립","한국예술종합학교","서울","2252","0","4806454.707"
"대학","국공립","한국전통문화대학교","충남","560","0","3382410.714"
"대학","국공립","한국체육대학교","서울","2140","0","3860074.766"
"대학","사립","가야대학교(김해)","경남","1878","0","6867297.125"
"대학","사립","가천대학교","경기","16249","0","8342910.136"
"대학","사립","가톨릭관동대학교","강원","7255","0","7206050.448"
"대학","사립","가톨릭꽃동네대학교","충북","432","0","7465375"
"대학","사립","가톨릭대학교","경기","7382","0","7331115.416"
"대학","사립","감리교신학대학교","서울","784","0","6640506.122"
"대학","사립","강남대학교","경기","5964","0","7560326.962"
"대학","사립","강서대학교","서울","1108","0","7513140.794"
"대학","사립","건국대학교","서울","18394","0","8248881.211"
"대학","사립","건양대학교","충남","6598","0","6844331.009"
